algorithm,n_tasks,n_vertices,n_edges,seed,run,time_ms,makespan,crosscheck_ok
A,100,202,410,1,1,0.1997,155,1
A,100,202,410,1,2,0.1759,155,1
A,100,202,410,1,3,0.1829,155,1
A,100,202,410,1,4,0.1625,155,1
A,100,202,410,1,5,0.1739,155,1
B,100,202,410,1,1,12.1093,155,1
B,100,202,410,1,2,13.2628,155,1
B,100,202,410,1,3,13.7271,155,1
B,100,202,410,1,4,13.9607,155,1
B,100,202,410,1,5,13.7424,155,1
A,100,202,389,2,1,0.2132,146,1
A,100,202,389,2,2,0.1961,146,1
A,100,202,389,2,3,0.1931,146,1
A,100,202,389,2,4,0.1946,146,1
A,100,202,389,2,5,0.1919,146,1
B,100,202,389,2,1,12.8023,146,1
B,100,202,389,2,2,16.2703,146,1
B,100,202,389,2,3,12.2431,146,1
B,100,202,389,2,4,14.9228,146,1
B,100,202,389,2,5,14.5446,146,1
A,100,202,400,3,1,0.1932,141,1
A,100,202,400,3,2,0.1692,141,1
A,100,202,400,3,3,0.1668,141,1
A,100,202,400,3,4,0.1774,141,1
A,100,202,400,3,5,0.1743,141,1
B,100,202,400,3,1,12.5794,141,1
B,100,202,400,3,2,12.2422,141,1
B,100,202,400,3,3,11.6142,141,1
B,100,202,400,3,4,12.0941,141,1
B,100,202,400,3,5,12.805,141,1
A,100,202,399,4,1,0.1886,128,1
A,100,202,399,4,2,0.179,128,1
A,100,202,399,4,3,0.1766,128,1
A,100,202,399,4,4,0.194,128,1
A,100,202,399,4,5,0.1807,128,1
B,100,202,399,4,1,12.7145,128,1
B,100,202,399,4,2,13.9386,128,1
B,100,202,399,4,3,14.5353,128,1
B,100,202,399,4,4,12.9426,128,1
B,100,202,399,4,5,13.0316,128,1
A,100,202,417,5,1,0.2126,136,1
A,100,202,417,5,2,0.1976,136,1
A,100,202,417,5,3,0.1945,136,1
A,100,202,417,5,4,0.209,136,1
A,100,202,417,5,5,0.1929,136,1
B,100,202,417,5,1,15.9148,136,1
B,100,202,417,5,2,17.6026,136,1
B,100,202,417,5,3,13.2376,136,1
B,100,202,417,5,4,14.1993,136,1
B,100,202,417,5,5,14.7488,136,1
A,300,602,1226,1,1,0.6074,231,1
A,300,602,1226,1,2,0.5861,231,1
A,300,602,1226,1,3,0.5913,231,1
A,300,602,1226,1,4,0.5698,231,1
A,300,602,1226,1,5,0.569,231,1
B,300,602,1226,1,1,121.5462,231,1
B,300,602,1226,1,2,118.0825,231,1
B,300,602,1226,1,3,113.8007,231,1
B,300,602,1226,1,4,117.785,231,1
B,300,602,1226,1,5,117.1,231,1
A,300,602,1226,2,1,0.5499,227,1
A,300,602,1226,2,2,0.5536,227,1
A,300,602,1226,2,3,0.9493,227,1
A,300,602,1226,2,4,0.7817,227,1
A,300,602,1226,2,5,0.5581,227,1
B,300,602,1226,2,1,131.877,227,1
B,300,602,1226,2,2,111.3458,227,1
B,300,602,1226,2,3,114.4559,227,1
B,300,602,1226,2,4,116.1181,227,1
B,300,602,1226,2,5,120.3752,227,1
A,300,602,1169,3,1,0.5294,234,1
A,300,602,1169,3,2,0.5083,234,1
A,300,602,1169,3,3,0.5205,234,1
A,300,602,1169,3,4,0.5148,234,1
A,300,602,1169,3,5,0.5532,234,1
B,300,602,1169,3,1,107.101,234,1
B,300,602,1169,3,2,109.9409,234,1
B,300,602,1169,3,3,107.3269,234,1
B,300,602,1169,3,4,108.9403,234,1
B,300,602,1169,3,5,112.8833,234,1
A,300,602,1181,4,1,0.6122,236,1
A,300,602,1181,4,2,0.548,236,1
A,300,602,1181,4,3,0.5133,236,1
A,300,602,1181,4,4,0.5435,236,1
A,300,602,1181,4,5,0.5346,236,1
B,300,602,1181,4,1,117.3919,236,1
B,300,602,1181,4,2,104.5737,236,1
B,300,602,1181,4,3,108.5734,236,1
B,300,602,1181,4,4,104.9591,236,1
B,300,602,1181,4,5,105.4825,236,1
A,300,602,1202,5,1,0.5554,243,1
A,300,602,1202,5,2,0.5194,243,1
A,300,602,1202,5,3,0.588,243,1
A,300,602,1202,5,4,0.8619,243,1
A,300,602,1202,5,5,0.697,243,1
B,300,602,1202,5,1,120.2375,243,1
B,300,602,1202,5,2,115.802,243,1
B,300,602,1202,5,3,105.0484,243,1
B,300,602,1202,5,4,108.1995,243,1
B,300,602,1202,5,5,116.1643,243,1
A,1000,2002,4076,1,1,1.8431,424,1
A,1000,2002,4076,1,2,2.1149,424,1
A,1000,2002,4076,1,3,1.923,424,1
A,1000,2002,4076,1,4,1.8051,424,1
A,1000,2002,4076,1,5,1.9477,424,1
B,1000,2002,4076,1,1,1302.4225,424,1
B,1000,2002,4076,1,2,1293.3686,424,1
B,1000,2002,4076,1,3,1298.839,424,1
A,1000,2002,4045,2,1,1.7815,410,1
A,1000,2002,4045,2,2,1.9103,410,1
A,1000,2002,4045,2,3,1.7124,410,1
A,1000,2002,4045,2,4,1.9181,410,1
A,1000,2002,4045,2,5,1.9221,410,1
B,1000,2002,4045,2,1,1285.0588,410,1
B,1000,2002,4045,2,2,1287.7216,410,1
B,1000,2002,4045,2,3,1559.1792,410,1
A,1000,2002,4090,3,1,3.644,416,1
A,1000,2002,4090,3,2,1.9669,416,1
A,1000,2002,4090,3,3,1.7455,416,1
A,1000,2002,4090,3,4,1.7286,416,1
A,1000,2002,4090,3,5,1.6957,416,1
B,1000,2002,4090,3,1,1422.0924,416,1
B,1000,2002,4090,3,2,1402.7789,416,1
B,1000,2002,4090,3,3,1365.7593,416,1
A,1000,2002,4106,4,1,1.9778,430,1
A,1000,2002,4106,4,2,1.9524,430,1
A,1000,2002,4106,4,3,1.7811,430,1
A,1000,2002,4106,4,4,1.7087,430,1
A,1000,2002,4106,4,5,1.9289,430,1
B,1000,2002,4106,4,1,1438.3017,430,1
B,1000,2002,4106,4,2,1381.5895,430,1
B,1000,2002,4106,4,3,1308.4923,430,1
A,1000,2002,4042,5,1,1.6821,400,1
A,1000,2002,4042,5,2,2.0002,400,1
A,1000,2002,4042,5,3,1.7237,400,1
A,1000,2002,4042,5,4,1.6788,400,1
A,1000,2002,4042,5,5,1.7452,400,1
B,1000,2002,4042,5,1,1339.7507,400,1
B,1000,2002,4042,5,2,1305.8367,400,1
B,1000,2002,4042,5,3,1311.4579,400,1
A,3000,6002,12103,1,1,6.7321,763,1
A,3000,6002,12103,1,2,6.2126,763,1
A,3000,6002,12103,1,3,6.2351,763,1
